Date,Papel,Abertura,Alta,Baixa,Fechamento,Volume
2022-05-10,PETR4,23.64586153103313,24.00390916448991,23.528947619860865,23.704317092895508,60330600
2022-05-11,PETR4,23.952759909110032,24.778465988717844,23.886995658743963,24.5300235748291,108895400
2022-05-12,PETR4,24.30350197457597,24.902688923419326,24.30350197457597,24.72001075744629,114415900
2022-05-13,PETR4,24.917300379119997,25.165742792905103,24.771160078320865,25.041522979736328,67000100
2022-05-16,PETR4,25.02690768201319,25.48725742132092,24.85153542360394,25.28996467590332,92075300
2022-05-17,PETR4,25.5749441726423,25.677243503341238,24.946530812694316,24.961145401000977,90914700
2022-05-18,PETR4,24.975759421582374,25.253431018201795,24.427724916054583,24.551944732666016,80986200
2022-05-19,PETR4,24.49348898417789,25.056138073452534,24.354654580635167,24.96845054626465,63983100
2022-05-20,PETR4,25.275351380697888,25.45072364807129,25.026908961263356,25.45072364807129,79589900
2022-05-23,PETR4,25.70647212970054,26.532178232942456,25.68455164143361,26.451799392700195,93807400
2022-05-24,PETR4,25.405834705706074,26.13055191175326,25.006831457493554,25.731550216674805,154453100
2022-05-25,PETR4,25.81298038788463,26.285266730500407,25.454692536687904,26.097980499267578,69991900
2022-05-26,PETR4,26.07355173706145,26.513268839115675,26.01655171712125,26.163124084472656,78303600
2022-05-27,PETR4,26.17941088757027,26.17941088757027,24.892831877457354,24.917261123657227,118295600
2022-05-30,PETR4,25.112690105938526,25.137119351819408,23.712112624583558,24.420543670654297,98110100
2022-05-31,PETR4,24.76254645334965,24.933548075885554,24.2739723858481,24.4775447845459,83598000
2022-06-01,PETR4,24.347257561252473,24.69740232095487,24.306543704459486,24.44497299194336,46353200
2022-06-02,PETR4,24.4042573543977,24.46940045653934,24.062255679870574,24.233257293701172,50738300
2022-06-03,PETR4,24.192542331566692,24.78697489687832,24.045971513887896,24.656688690185547,60396900
2022-06-06,PETR4,24.83583216993457,24.860261416443116,24.35540119387199,24.6729736328125,39213900
2022-06-07,PETR4,24.583402323687704,25.48726268181884,24.55897307768748,24.96611785888672,80333700
2022-06-08,PETR4,24.770688881292774,25.365119897034745,24.697402695446875,24.843975067138672,65923900
2022-06-09,PETR4,24.843975103504427,24.966118229048345,24.412401069906206,24.485687255859375,53879000
2022-06-10,PETR4,24.43683104713585,24.43683104713585,23.66325530699776,24.143686294555664,63101700
2022-06-13,PETR4,23.630682833420845,24.08668454113375,23.345681183675016,23.83425521850586,64507100
2022-06-14,PETR4,24.151828970870223,24.632259950350942,23.80982728298792,24.10297203063965,68816900
2022-06-15,PETR4,24.42868710070217,24.444973264854823,23.48411132372575,23.679540634155273,72785700
2022-06-17,PETR4,22.938536419606223,23.166538050090338,21.277385011366313,22.23824691772461,184606500
2022-06-20,PETR4,21.187815154151185,23.003680537068476,21.098242803729597,22.490678787231445,92581800
